gender,b-type,sign,talent,effort,state,retake,attend,club,relate,result
female,B,Cancer,general,hard-working,relaxed,twice,good,yes,no,1
female,A,Leo,general,hard-working,relaxed,none,bad,no,yes,1
female,B,Aries,talented,hard-working,nervous,none,good,yes,yes,1
female,B,Aries,talented,lazy,relaxed,none,good,no,yes,1
female,AB,Taurus,clumsy,lazy,relaxed,once,good,yes,yes,0
female,O,Leo,talented,general,nervous,twice,bad,yes,no,1
female,B,Scorpio,talented,hard-working,nervous,none,bad,no,yes,1
female,A,Sagittarius,clumsy,lazy,nervous,none,good,yes,yes,0
female,O,Capricorn,talented,lazy,nervous,twice,good,no,no,1
female,AB,Capricorn,general,general,relaxed,twice,bad,yes,no,1
female,B,Taurus,talented,lazy,nervous,twice,good,yes,yes,1
female,A,Taurus,talented,hard-working,nervous,none,good,yes,yes,1
female,AB,Pisces,clumsy,hard-working,relaxed,twice,bad,no,yes,1
female,AB,Scorpio,talented,hard-working,relaxed,once,bad,no,no,1
female,O,Scorpio,talented,general,relaxed,none,good,yes,yes,1
female,O,Gemini,general,lazy,nervous,once,good,yes,no,1
